paper_id,filename,n_subjects,cohorts,hormones,challenge,n_tables_detected,extraction_quality,needs_wpd
04e88f0e61,Elevated_Plasma_Glucose_Dependent_Insulinotropic_Polypeptide_Associates_With_Hyperinsuline.pdf,34,Obesity|T2DM|no_obese_without_T2DM,GIP_active|GIP_total|glucagon|glucose|insulin,OGTT,0,manual_required,True
0750ea7cb3,Mechanisms_of_surgical_control_of_type_2_diabet_es_GLP-1_is_key_factor.pdf,85,Obesity|Obesity_T2DM|RYGBP|SG|T2DM|no_obese_without_T2DM,PYY_3_36|glucagon|glucose|insulin,OGTT,0,manual_required,True
0d8e6e44ab,Mechanisms_of_surgical_control_of_type_2_diabet_es_GLP-1_is_key_factor_copia.pdf,85,Obesity|Obesity_T2DM|RYGBP|SG|T2DM|no_obese_without_T2DM,PYY_3_36|glucagon|glucose|insulin,OGTT,0,manual_required,True
126a4d2417,Appetite-related_Gut_Hormone_Responses_to_Feeding_Across_the_Life_Course_2.pdf,20,Obesity|RYGBP|T2DM|no_obese_without_T2DM,PYY_3_36|ghrelin_acyl|ghrelin_total|glucagon|glucose|insulin,OGTT,0,manual_required,True
1c61e57892,Postprandial_Dynamics_of_Proglucagon_Cleavage_Products_and_Their_Relation_to_Metabolic_Health.pdf,52,Obesity|T2DM|no_obese_without_T2DM,glucagon|glucose|insulin,OGTT,1,manual_required,True
3720069184,s41366-024-01461-2.pdf,34,Obesity|RYGBP|SG|T2DM|no_obese_without_T2DM,glucagon|glucose|insulin,OGTT,2,manual_required,True
38fa35e341,Comparison_of_Bariatric_Surgical_Procedures_for_Diabetes_Remission_Efficacy_and_Mechanisms.pdf,250,Obesity|Post-CR|RYGBP|SG|T2DM|no_obese_without_T2DM,glucagon|glucose|insulin,OGTT,4,manual_required,True
43d77bd99f,Secretion_of_Glucose-Dependent_Insulinotropic_Polypeptide_in_Patients_With_Type_2_Diabetes.pdf,688,Obesity|RYGBP|SG|T2DM|no_obese_without_T2DM,GIP_active|GIP_total|glucagon|glucose|insulin,OGTT,1,manual_required,True
636b68efd1,_37_37_Enteroendocrine_Patterns_in_Obesity_and_Type_2_Diabetes-_Meta-Analysis_Using_Modified_Secreti_2.pdf,847,Obesity|Post-CR|RYGBP|SG|T2DM|no_obese_without_T2DM,ghrelin_total|glucose|insulin,OGTT,18,manual_required,True
9094de421b,Differences_in_gastrointestinal_hormones_and_appetite_ratings_among_obesity_classes.pdf,45,Obesity|RYGBP|SG|T2DM|no_obese_without_T2DM,GLP1_active|PYY_3_36|PYY_total|ghrelin_acyl|ghrelin_total|glucagon|glucose|insulin,LMMT,0,manual_required,True
