source_study,cohort,hormone,time_min,mean_value,n,challenge_class
Aukan_2022,Obesity,GLP1_active,0.0,2.6175,98,SMMT
Aukan_2022,Obesity,GLP1_active,15.0,3.9974999999999996,98,SMMT
Aukan_2022,Obesity,GLP1_active,30.0,5.425,98,SMMT
Aukan_2022,Obesity,GLP1_active,60.0,4.325,98,SMMT
Aukan_2022,Obesity,GLP1_active,90.0,4.4875,98,SMMT
Aukan_2022,Obesity,GLP1_active,120.0,4.5775,98,SMMT
Aukan_2022,Obesity,GLP1_active,150.0,4.16,98,SMMT
Aukan_2022,Obesity,PYY_total,0.0,11.82,98,SMMT
Aukan_2022,Obesity,PYY_total,15.0,13.3325,98,SMMT
Aukan_2022,Obesity,PYY_total,30.0,15.31,98,SMMT
Aukan_2022,Obesity,PYY_total,60.0,14.184999999999999,98,SMMT
Aukan_2022,Obesity,PYY_total,90.0,14.712499999999999,98,SMMT
Aukan_2022,Obesity,PYY_total,120.0,14.7825,98,SMMT
Aukan_2022,Obesity,PYY_total,150.0,14.6725,98,SMMT
Aukan_2022,Obesity,ghrelin_acyl,0.0,29.55,98,SMMT
Aukan_2022,Obesity,ghrelin_acyl,15.0,25.185000000000002,98,SMMT
Aukan_2022,Obesity,ghrelin_acyl,30.0,21.9125,98,SMMT
Aukan_2022,Obesity,ghrelin_acyl,60.0,15.870000000000001,98,SMMT
Aukan_2022,Obesity,ghrelin_acyl,90.0,16.77,98,SMMT
Aukan_2022,Obesity,ghrelin_acyl,120.0,18.942500000000003,98,SMMT
Aukan_2022,Obesity,ghrelin_acyl,150.0,22.345,98,SMMT
Aukan_2022,no_obese_without_T2DM,GLP1_active,0.0,1.0,45,SMMT
Aukan_2022,no_obese_without_T2DM,GLP1_active,15.0,3.84,45,SMMT
Aukan_2022,no_obese_without_T2DM,GLP1_active,30.0,6.46,45,SMMT
Aukan_2022,no_obese_without_T2DM,GLP1_active,60.0,6.69,45,SMMT
Aukan_2022,no_obese_without_T2DM,GLP1_active,90.0,7.72,45,SMMT
Aukan_2022,no_obese_without_T2DM,GLP1_active,120.0,8.81,45,SMMT
Aukan_2022,no_obese_without_T2DM,GLP1_active,150.0,6.52,45,SMMT
Aukan_2022,no_obese_without_T2DM,PYY_total,0.0,21.0,45,SMMT
Aukan_2022,no_obese_without_T2DM,PYY_total,15.0,29.17,45,SMMT
Aukan_2022,no_obese_without_T2DM,PYY_total,30.0,33.7,45,SMMT
Aukan_2022,no_obese_without_T2DM,PYY_total,60.0,33.98,45,SMMT
Aukan_2022,no_obese_without_T2DM,PYY_total,90.0,35.82,45,SMMT
Aukan_2022,no_obese_without_T2DM,PYY_total,120.0,37.28,45,SMMT
Aukan_2022,no_obese_without_T2DM,PYY_total,150.0,35.46,45,SMMT
Aukan_2022,no_obese_without_T2DM,ghrelin_acyl,0.0,70.25,45,SMMT
Aukan_2022,no_obese_without_T2DM,ghrelin_acyl,15.0,61.15,45,SMMT
Aukan_2022,no_obese_without_T2DM,ghrelin_acyl,30.0,51.8,45,SMMT
Aukan_2022,no_obese_without_T2DM,ghrelin_acyl,60.0,42.31,45,SMMT
Aukan_2022,no_obese_without_T2DM,ghrelin_acyl,90.0,44.42,45,SMMT
