Author,Reference,Number of Subjects, Cohort,Mean Body mass index (kg/m2),Deviation standard of BMI,Number of Female Subjects,Mean Age,Deviation standard of Age,Medical treatament protocol,Statiscal Analysis,Plasmatic enteropeptide reagents,Caloric protocol Do not use as a caloric test,Cohorts,Caloric test,Kcal of the Caloric test,TOTAL GHRELIN,Time,Pmol/L,,ACYLATED GHRELIN,Time,Pmol/L,,TOTAL GIP,Time,Pmol/L,,ACTIVE GIP,Time,Pmol/L,,TOTAL GLP-1,Time,Pmol/L,,ACTIVE GLP-1,Time,Pmol/L,,TOTAL PYY,Time,Pmol/L,,,PYY3-36,Time,Pmol/L,,,Insulin,Time,Pmol/L,,Glucagon,Time,Pmol/L,,Glucose,Time,mmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engström 2007,Engström BE. Ohrvall M. Sundbom M. Lind L. Karlsson FA. Meal suppression of circulating ghrelin is normalized in obese individuals following gastric bypass surgery. Int J Obes (Lond). 2007 Mar;31(3):476-80. doi: 10.1038/sj.ijo.0803440. Epub 2006 Aug 22. PMID: 16924271.,10,No obesity-No T2DM Cohort,22.7,1.8,5,25.9,2.2,,Analysis of variance for repeated measurements was used for evaluations of changes over time and differences between groups. T-test was used for differences between groups at different time points. Pearson’s correlation coefficient was given when pairs of variables were related. The relationship between glucose. insulin and ghrelin 1 h following the meal was calculated as the percentage change from the last fasting values taken. Morning ghrelin values were transformed into logarithm before analysis and are presented as geometric means7s.d. Other measurements are reported as means7s.d. P<0.05 was considered as significant. The subjects came to our metabolic unit at the Samariterhemmet Hospital in the morning after overnight fasting and continued to fast until a standardized meal was given at 1300 hours. The meal consisted of 770 kcal (30% fat. 15–20% proteins and 50–55% carbohydrates). Blood samples were drawn at 0800. 1000 and 1200 hours and at 1300. 1330. 1400. 1430. 1500 and 1600 hours and were analysed for ghrelin. glucose and insulin.,Serum ghrelin levels were measured using a commercial radioimmunoassay (Phoenix Pharmaceuticals Inc.. Belmont. CA. USA). It employs 125I-labelled bioactive ghrelin as a tracer and a polyclonal antibody raised in rabbits against the full-length. octanoylated human ghrelin. Intra- and interassay coefficients of variance were 5.3 and 13.6%. respectively.29 Fasting plasma glucose was measured with routine clinical chemistry laboratory technique at the Department of Clinical Chemistry. University of Uppsala. Serum insulin was measured with an AutoDELFIA automatic immunoassay system (Wallac Inc.. Oy. Turku. Finland).,Meal test 770 Kcal ((30% fat. 15–20% proteins and 50–55% carbohydrates)),No obesity-No T2DM Cohort,Solid Mixed Meal Test,770 Kcal,,,,,ACYLATED GHRELIN,Time,Pmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insulin,Time,Pmol/L,,,,,,Glucose,Time,mmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,133.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9.60,,,,,,,0,4.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,15,132.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,70.86,,,,,,,15,5.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,30,130.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,131.16,,,,,,,30,6.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,60,125.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,210.66,,,,,,,60,6.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,90,114.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,202.02,,,,,,,90,6.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,120,109.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,159.90,,,,,,,120,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,150,110.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,106.20,,,,,,,150,5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,180,106.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,80.40,,,,,,,180,5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,45,No obesity-No T2DM Cohort,24.6,2.7,26,39.1,11.1,"This manuscript reports a secondary analysis of the “Weight loss maintenance and compensatory mechanisms activated with a very-low energy diet (VLED)” study, approved by the Norwegian regional ethics committee (Ref., 2012/1901), registered in clinicaltrials.gov (NCT01834859), and conducted according to the guidelines laid down in the Declaration of Helsinki. The main findings have already been published (Nymo et al., 2017, 2018). Adults (18–65 year) with obesity (BMI: ≥30 kg/m2), and a control group (BMI: 18.5–29.9 kg/m2) were recruited via newspaper advertising serving the community of Trondheim, Norway. All participants provided written informed consent before commencement. At recruitment, all participants were required to be weight stable (<2 kg body weight change over the past 3 months), not currently dieting to lose weight, and have a sedentary lifestyle (engaging in <150 min/week of physical activity of at least moderate intensity) (Haskell et al., 2007). The study excluded pregnant or breastfeeding women and those with clinically significant illnesses, including diabetes, previous weight loss surgery, and/or taking medication known to affect appetite or induce weight loss",The statistical analysis was carried out using SPSS. version 26 (SPSS Inc.. Chicago. IL). Data are presented as estimated marginal means ± SEM. unless otherwise stated. Due to the large number of tests. the significance level was reduced to P < 0.01. in order to account for increased risk of type-1 error. Two separate general linear models were performed to compare GI hormones and subjective appetite ratings among different BMI classes. presented as estimated marginal means. One model compared individuals with obesity class I. II. and III. and a second model compared individuals with obesity (and its subclasses) with controls (a total of 6 comparisons). Residuals were checked for normality with Shapiro Wilk test and did not deviate significantly from normality. Plasma concentration of GI hormones and appetite ratings were analyzed as dependent variables. with BMI group as a fixed factor. Covariates known to affect appetite (age. sex and physical activity) were added to both models. and Bonferroni correction was used for post-hoc pairwise comparisons. The trapezoidal rule was applied to calculate total area under the curve (tAUC) and incremental area under the curve (iAUC) from 0 to 150 min. A linear mixed model was run to look at changes in plasma concentrations of GI hormones over the sampling time period (0. 30. 60. 90. 120 and 150 min) in each group. using Bonferroni correction for post-hoc pairwise comparisons. Spearman correlation was used to investigate the association between BMI and the different appetite variables.,VAS and blood samples were collected in the fasting state. immediately after a fixed breakfast meal (VAS only). (2512 kJ [600 kcal]: 17% protein. 35% fat. and 48% carbohydrates) and every 30 min for a period of 2.5 h. Plasma samples were analyzed for acylated ghrelin. active GLP-1. total PYY and insulin using a Human Metabolic Hormone Magnetic Bead Panel (LINCOplex Kit. Millipore. St Louis. MO). The cross-reactivity between antibodies and any of the other analytes in this panel is non-detectable or negligible. CCK was analyzed using an “in-house” radioimmunoassay (Rehfeld. 1998). Intra- and inter-assays CV were <10% and <20% for acylated ghrelin. GLP-1 and PYY; <10% and <15% for insulin and <5% and <15% for CCK. respectively. Blood samples were collected in 4 ml EDTA-coated tubes. One milliliter of whole blood was then transferred into a micro tube and a 20 μL mixture of inhibitor (10 μL of Pefabloc [Roche Diagnostic. Germany] +10 μL dipeptidyl-peptidase IV inhibitor [Merck Millipore. Germany]) was added. For CCK. 500 KIU aprotinin (DSM. Coatech AB. Kaiseraugst. Switzerland)/mL whole blood was added to the EDTA tube. Samples were then centrifuged at 2106 RCF for 10 min at 18 ◦C and the plasma frozen at − 80 ◦C until further analysis. All the samples from the same participant were analyzed in the same plate. The analyses were performed by the same technician. except for CCK. which was analyzed at the University of Copenhagen. Denmark.,fixed breakfast meal (VAS only). (2512 kJ [600 kcal]: 17% protein. 35% fat. and 48% carbohydrates),No obesity-No T2DM Cohort,Solid Mixed Meal Test,600 Kcal,,,,,ACYLATED GHRELIN,Time,Pmol/L,,,,,,,,,,,,,,ACTIVE GLP-1,Time,Pmol/L,,TOTAL PYY,Time,Pmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,70.25,,,,,,,,,,,,,,,0,1.00,,,0,21.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,15,61.15,,,,,,,,,,,,,,,15,3.84,,,15,29.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,30,51.80,,,,,,,,,,,,,,,30,6.46,,,30,33.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,60,42.31,,,,,,,,,,,,,,,60,6.69,,,60,33.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,90,44.42,,,,,,,,,,,,,,,90,7.72,,,90,35.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,120,49.82,,,,,,,,,,,,,,,120,8.81,,,120,37.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,150,59.31,,,,,,,,,,,,,,,150,6.52,,,150,35.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engström 2007,Engström BE. Ohrvall M. Sundbom M. Lind L. Karlsson FA. Meal suppression of circulating ghrelin is normalized in obese individuals following gastric bypass surgery. Int J Obes (Lond). 2007 Mar;31(3):476-80. doi: 10.1038/sj.ijo.0803440. Epub 2006 Aug 22. PMID: 16924271.,10,No obesity-No T2DM Cohort,23.5,2.6,5,43.5,5.0,,Analysis of variance for repeated measurements was used for evaluations of changes over time and differences between groups. T-test was used for differences between groups at different time points. Pearson’s correlation coefficient was given when pairs of variables were related. The relationship between glucose. insulin and ghrelin 1 h following the meal was calculated as the percentage change from the last fasting values taken. Morning ghrelin values were transformed into logarithm before analysis and are presented as geometric means7s.d. Other measurements are reported as means7s.d. P<0.05 was considered as significant. The subjects came to our metabolic unit at the Samariterhemmet Hospital in the morning after overnight fasting and continued to fast until a standardized meal was given at 1300 hours. The meal consisted of 770 kcal (30% fat. 15–20% proteins and 50–55% carbohydrates). Blood samples were drawn at 0800. 1000 and 1200 hours and at 1300. 1330. 1400. 1430. 1500 and 1600 hours and were analysed for ghrelin. glucose and insulin.,Serum ghrelin levels were measured using a commercial radioimmunoassay (Phoenix Pharmaceuticals Inc.. Belmont. CA. USA). It employs 125I-labelled bioactive ghrelin as a tracer and a polyclonal antibody raised in rabbits against the full-length. octanoylated human ghrelin. Intra- and interassay coefficients of variance were 5.3 and 13.6%. respectively.29 Fasting plasma glucose was measured with routine clinical chemistry laboratory technique at the Department of Clinical Chemistry. University of Uppsala. Serum insulin was measured with an AutoDELFIA automatic immunoassay system (Wallac Inc.. Oy. Turku. Finland).,Meal test 770 Kcal ((30% fat. 15–20% proteins and 50–55% carbohydrates)),No obesity-No T2DM Cohort,Solid Mixed Meal Test,770 Kcal,,,,,ACYLATED GHRELIN,Time,Pmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insulin,Time,Pmol/L,,,,,,Glucose,Time,mmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,77.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15.60,,,,,,,0,5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,15,86.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,51.72,,,,,,,15,5.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,30,84.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,91.92,,,,,,,30,6.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,60,80.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,154.14,,,,,,,60,7.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,90,76.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,176.16,,,,,,,90,7.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,120,74.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,159.90,,,,,,,120,7.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,150,74.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,122.58,,,,,,,150,6.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,180,74.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,93.00,,,,,,,180,6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
