contrast,estimate,SE,df,t.ratio,p.value,component
(Lean-Healthy) - Obesity,0.168944966447685,4.90535599650148,2625908134.93459,0.0344409185731223,0.999999681401471,MFPC1
(Lean-Healthy) - (Obesity+T2DM),-0.539011735487723,4.90535599650151,2625908134.93459,-0.10988228700876,0.999967156454835,MFPC1
(Lean-Healthy) - Sleeve,3.33659543463461,4.90535599645088,2625907624.57305,0.680194350226305,0.960777092921959,MFPC1
(Lean-Healthy) - RYGBP,2.69512916790344,4.90535599645088,2625907624.57305,0.54942580515123,0.982039485135092,MFPC1
Obesity - (Obesity+T2DM),-0.707956701935408,0.0857318458889858,244.999999999958,-8.25780309048916,1.44106948596345e-13,MFPC1
Obesity - Sleeve,3.16765046818693,4.90535599646369,2625907624.57305,0.645753431651141,0.96747394755213,MFPC1
Obesity - RYGBP,2.52618420145576,4.90535599646369,2625907624.57305,0.514984886576408,0.985902706073657,MFPC1
(Obesity+T2DM) - Sleeve,3.87560717012234,4.9053559964637,2625907624.57305,0.790076637234134,0.93358797644844,MFPC1
(Obesity+T2DM) - RYGBP,3.23414090339116,4.9053559964637,2625907624.57305,0.659308092159402,0.964937337576946,MFPC1
Sleeve - RYGBP,-0.641466266731174,4.90535599644969,2625907624.57305,-0.130768545075106,0.999934274357021,MFPC1
(Lean-Healthy) - Obesity,0.0278413211195766,0.443609893732367,1.29185551145383e-12,0.062760820966661,,MFPC2
(Lean-Healthy) - (Obesity+T2DM),1.44360010195924,0.443444664864694,1.29141142224398e-12,3.2554233173596,,MFPC2
(Lean-Healthy) - Sleeve,0.677536356124626,0.453482904516675,1.29185551145383e-12,1.49407254248481,,MFPC2
(Lean-Healthy) - RYGBP,0.70030203273458,0.454057047873754,1.29274368987353e-12,1.54232168846169,,MFPC2
Obesity - (Obesity+T2DM),1.41575878083966,0.244479877957188,245.000000000005,5.79090104539229,0.000000212758824336134,MFPC2
Obesity - Sleeve,0.649695035005049,0.45250194964624,1.29185551145383e-12,1.43578394637409,,MFPC2
Obesity - RYGBP,0.672460711615003,0.452789131050895,1.29185551145383e-12,1.48515206196373,,MFPC2
(Obesity+T2DM) - Sleeve,-0.76606374583461,0.452327194984072,1.29185551145383e-12,-1.69360532448549,,MFPC2
(Obesity+T2DM) - RYGBP,-0.743298069224656,0.452614487269613,1.29185551145383e-12,-1.64223216474706,,MFPC2
Sleeve - RYGBP,0.0227656766099535,0.453680914801529,1.29185551145383e-12,0.0501799301385927,,MFPC2
(Lean-Healthy) - Obesity,0.235854205457454,0.422207422777554,3395.23583782602,0.558621645981144,0.980887347182472,MFPC3
(Lean-Healthy) - (Obesity+T2DM),1.08981519634847,0.422207422777554,3395.23583782602,2.58123173007939,0.0740449653073668,MFPC3
