study,n_strata_retained,n_subjects,FVE_top4_pct,dFVE_pct,abs_corr_Psi1,abs_corr_Psi2,abs_corr_Psi3,abs_corr_Psi4,mean_abs_corr,status
Aukan 2022,9,140,98.58,0.21,0.986,0.992,0.994,0.98,0.988,OK
Belinova 2014,9,140,97.98,-0.39,0.997,0.997,0.992,0.986,0.993,OK
DeBenedictis 2020,9,140,98.34,-0.03,0.978,0.97,0.988,0.953,0.972,OK
Di Giuseppe 2025,9,140,98.73,0.36,0.985,0.997,0.995,0.98,0.989,OK
Engström 2007,9,140,98.79,0.41,0.989,0.995,0.994,0.988,0.991,OK
Hedbäck 2022,9,140,98.17,-0.2,0.918,0.94,0.983,0.919,0.94,OK
Hill 2012,9,140,98.04,-0.33,0.989,0.999,0.992,0.987,0.992,OK
Jones 1989,9,140,98.54,0.17,0.99,0.987,0.992,0.97,0.985,OK
Kim 2016,9,140,98.34,-0.03,0.996,0.997,0.975,0.973,0.985,OK
Laferrère  2008,9,60,99.02,0.65,0.335,0.531,0.353,0.661,0.47,OK
Meek 2020,9,140,98.53,0.16,0.983,0.967,0.958,0.991,0.975,OK
Nannipieri 2013,9,140,98.38,0.01,0.991,0.987,0.983,0.99,0.988,OK
Nosso 2016,9,140,98.27,-0.1,0.887,0.851,0.855,0.653,0.812,OK
Oliván 2009,9,140,98.59,0.22,0.992,0.99,0.986,0.986,0.989,OK
Peterli 2012,9,140,98.67,0.3,0.998,0.998,0.998,0.923,0.979,OK
Svane 2019,9,100,97.83,-0.54,0.959,0.827,0.556,0.679,0.755,OK
Theodorakis 2004,9,140,98.35,-0.02,0.993,0.998,0.998,0.984,0.993,OK
Valderas 2010,9,140,98.66,0.29,0.995,0.996,0.999,0.993,0.996,OK
Verdich 2001,9,140,98.88,0.51,0.85,0.839,0.9,0.952,0.885,OK
Vilsbøll 2001,9,140,97.99,-0.38,0.988,0.991,0.998,0.99,0.992,OK
Vilsbøll 2003,9,140,98.29,-0.08,0.97,0.978,0.964,0.974,0.972,OK
Wilbrink 2025,9,140,98.01,-0.36,0.995,0.997,0.998,0.979,0.992,OK
Yousseif  2014,9,140,97.7,-0.67,0.91,0.959,0.981,0.926,0.944,OK
