hormone,stratum,n,z_med,PTP_modal,pct_Preserved,pct_Enhanced,pct_Impaired
ACTIVE GIP,LEAN,50,0,Preserved,80,16,4
ACTIVE GIP,OB,50,-0.388,Preserved,78,2,20
ACTIVE GIP,OB+T2DM,50,-0.534,Preserved,64,2,34
ACTIVE GLP-1,LEAN,50,0,Preserved,90,4,6
ACTIVE GLP-1,OB,50,-1.597,Preserved,36,0,64
ACTIVE GLP-1,OB+T2DM,50,-0.751,Preserved,72,0,28
ACTIVE GLP-1,PRE-SG,50,-3.848,Impaired,0,0,100
ACTIVE GLP-1,POST-SG,50,-0.514,Preserved,62,10,28
ACTIVE GLP-1,PRE-RYGBP,50,-2.584,Impaired,0,0,100
ACTIVE GLP-1,POST-RYGBP,50,18.893,Enhanced,0,100,0
ACTIVE GLP-1,POST-CR,50,-3.313,Impaired,0,0,100
ACYLATED GHRELIN,LEAN,50,0,Preserved,80,10,10
ACYLATED GHRELIN,OB,50,-12.517,Impaired,0,0,100
ACYLATED GHRELIN,POST-SG,50,-10.162,Impaired,0,0,100
ACYLATED GHRELIN,PRE-RYGBP,50,-5.363,Impaired,0,0,100
ACYLATED GHRELIN,POST-RYGBP,50,-7.513,Impaired,0,0,100
Glucagon,LEAN,50,0,Preserved,92,4,4
Glucagon,OB,50,-11.231,Impaired,0,0,100
Glucagon,T2DM,50,-3.115,Impaired,0,0,100
Glucagon,OB+T2DM,50,-1.377,Borderline Impaired,28,0,72
Glucagon,POST-SG,50,-12.255,Impaired,0,0,100
Glucagon,PRE-RYGBP,50,-1.006,Preserved,50,0,50
Glucagon,POST-RYGBP,50,2.503,Enhanced,2,98,0
Glucagon,POST-CR,50,-3.325,Impaired,0,0,100
Glucose,LEAN,50,0,Preserved,84,8,8
Glucose,OB,50,2.811,Enhanced,12,88,0
Glucose,T2DM,50,36.444,Enhanced,0,100,0
Glucose,OB+T2DM,50,28.903,Enhanced,0,100,0
Glucose,POST-SG,50,8.527,Enhanced,0,100,0
Glucose,PRE-RYGBP,50,24.282,Enhanced,0,100,0
Glucose,POST-RYGBP,50,8.397,Enhanced,0,100,0
Glucose,POST-CR,50,0.31,Preserved,48,28,24
Insulin,LEAN,50,0,Preserved,94,2,4
Insulin,OB,50,22.469,Enhanced,0,100,0
Insulin,T2DM,50,2.157,Enhanced,4,96,0
Insulin,OB+T2DM,50,-3.3,Impaired,0,0,100
Insulin,POST-SG,50,2.019,Enhanced,18,82,0
Insulin,PRE-RYGBP,50,4.538,Enhanced,0,100,0
Insulin,POST-RYGBP,50,4.488,Enhanced,0,100,0
Insulin,POST-CR,50,35.329,Enhanced,0,100,0
PYY3-36,LEAN,50,0,Preserved,90,4,6
PYY3-36,OB,50,-11.356,Impaired,0,0,100
PYY3-36,PRE-SG,50,-6.707,Impaired,0,0,100
PYY3-36,POST-SG,50,-4.167,Impaired,0,0,100
PYY3-36,PRE-RYGBP,50,-4.651,Impaired,0,0,100
PYY3-36,POST-RYGBP,50,-3.124,Impaired,0,0,100
TOTAL GHRELIN,LEAN,50,0,Preserved,90,4,6
TOTAL GHRELIN,OB,50,15.005,Enhanced,0,100,0
TOTAL GHRELIN,OB+T2DM,50,-18.792,Impaired,0,0,100
TOTAL GHRELIN,PRE-SG,50,1.39,Borderline Enhanced,0,100,0
TOTAL GHRELIN,POST-SG,50,-6.542,Impaired,0,0,100
TOTAL GHRELIN,PRE-RYGBP,50,7.21,Enhanced,0,100,0
TOTAL GHRELIN,POST-RYGBP,50,1.763,Borderline Enhanced,0,100,0
TOTAL GIP,LEAN,50,0,Preserved,86,8,6
TOTAL GIP,OB,50,0.141,Preserved,76,18,6
TOTAL GIP,T2DM,50,3.495,Enhanced,0,100,0
TOTAL GIP,OB+T2DM,50,2.206,Enhanced,16,82,2
TOTAL GIP,POST-SG,50,-0.945,Preserved,50,2,48
TOTAL GIP,PRE-RYGBP,50,-1.957,Borderline Impaired,4,0,96
TOTAL GIP,POST-RYGBP,50,-4.265,Impaired,0,0,100
TOTAL GIP,POST-CR,50,-1.782,Impaired,16,0,84
TOTAL GLP-1,LEAN,50,0,Preserved,92,4,4
TOTAL GLP-1,OB,50,5.525,Enhanced,0,100,0
TOTAL GLP-1,T2DM,50,-4.823,Impaired,0,0,100
TOTAL GLP-1,OB+T2DM,50,0.896,Preserved,64,36,0
TOTAL GLP-1,POST-SG,50,3.431,Enhanced,0,100,0
TOTAL GLP-1,PRE-RYGBP,50,-3.96,Impaired,0,0,100
TOTAL GLP-1,POST-RYGBP,50,5.621,Enhanced,6,94,0
TOTAL GLP-1,POST-CR,50,-1.015,Borderline Impaired,46,0,54
TOTAL PYY,LEAN,50,0,Preserved,90,4,6
TOTAL PYY,OB,50,-0.99,Preserved,52,0,48
TOTAL PYY,OB+T2DM,50,-3.95,Impaired,0,0,100
TOTAL PYY,POST-SG,50,0.236,Preserved,94,6,0
TOTAL PYY,POST-RYGBP,50,7.353,Enhanced,0,100,0
