study,reference,N,cohort,BMI,BMI_sd,Nfem,age,age_sd,caloric_test,kcal,hormone,time_min,value,cohort_lvl1,cohort_lvl2
Engström 2007,Engström BE. Ohrvall M. Sundbom M. Lind L. Karlsson FA. Meal suppression of circulating ghrelin is normalized in obese individuals following gastric bypass surgery. Int J Obes (Lond). 2007 Mar;31(3):476-80. doi: 10.1038/sj.ijo.0803440. Epub 2006 Aug 22. PMID: 16924271.,10,Lean,22.7,1.8,5,25.9,2.2,Solid Mixed Meal Test,770,ACYLATED GHRELIN,0,133.44,Lean,Lean
Engström 2007,Engström BE. Ohrvall M. Sundbom M. Lind L. Karlsson FA. Meal suppression of circulating ghrelin is normalized in obese individuals following gastric bypass surgery. Int J Obes (Lond). 2007 Mar;31(3):476-80. doi: 10.1038/sj.ijo.0803440. Epub 2006 Aug 22. PMID: 16924271.,10,Lean,22.7,1.8,5,25.9,2.2,Solid Mixed Meal Test,770,ACYLATED GHRELIN,15,132.48,Lean,Lean
Engström 2007,Engström BE. Ohrvall M. Sundbom M. Lind L. Karlsson FA. Meal suppression of circulating ghrelin is normalized in obese individuals following gastric bypass surgery. Int J Obes (Lond). 2007 Mar;31(3):476-80. doi: 10.1038/sj.ijo.0803440. Epub 2006 Aug 22. PMID: 16924271.,10,Lean,22.7,1.8,5,25.9,2.2,Solid Mixed Meal Test,770,ACYLATED GHRELIN,30,130.43,Lean,Lean
Engström 2007,Engström BE. Ohrvall M. Sundbom M. Lind L. Karlsson FA. Meal suppression of circulating ghrelin is normalized in obese individuals following gastric bypass surgery. Int J Obes (Lond). 2007 Mar;31(3):476-80. doi: 10.1038/sj.ijo.0803440. Epub 2006 Aug 22. PMID: 16924271.,10,Lean,22.7,1.8,5,25.9,2.2,Solid Mixed Meal Test,770,ACYLATED GHRELIN,60,125.23,Lean,Lean
Engström 2007,Engström BE. Ohrvall M. Sundbom M. Lind L. Karlsson FA. Meal suppression of circulating ghrelin is normalized in obese individuals following gastric bypass surgery. Int J Obes (Lond). 2007 Mar;31(3):476-80. doi: 10.1038/sj.ijo.0803440. Epub 2006 Aug 22. PMID: 16924271.,10,Lean,22.7,1.8,5,25.9,2.2,Solid Mixed Meal Test,770,ACYLATED GHRELIN,90,114.7,Lean,Lean
Engström 2007,Engström BE. Ohrvall M. Sundbom M. Lind L. Karlsson FA. Meal suppression of circulating ghrelin is normalized in obese individuals following gastric bypass surgery. Int J Obes (Lond). 2007 Mar;31(3):476-80. doi: 10.1038/sj.ijo.0803440. Epub 2006 Aug 22. PMID: 16924271.,10,Lean,22.7,1.8,5,25.9,2.2,Solid Mixed Meal Test,770,ACYLATED GHRELIN,120,109.37,Lean,Lean
Engström 2007,Engström BE. Ohrvall M. Sundbom M. Lind L. Karlsson FA. Meal suppression of circulating ghrelin is normalized in obese individuals following gastric bypass surgery. Int J Obes (Lond). 2007 Mar;31(3):476-80. doi: 10.1038/sj.ijo.0803440. Epub 2006 Aug 22. PMID: 16924271.,10,Lean,22.7,1.8,5,25.9,2.2,Solid Mixed Meal Test,770,ACYLATED GHRELIN,150,110.33,Lean,Lean
Engström 2007,Engström BE. Ohrvall M. Sundbom M. Lind L. Karlsson FA. Meal suppression of circulating ghrelin is normalized in obese individuals following gastric bypass surgery. Int J Obes (Lond). 2007 Mar;31(3):476-80. doi: 10.1038/sj.ijo.0803440. Epub 2006 Aug 22. PMID: 16924271.,10,Lean,22.7,1.8,5,25.9,2.2,Solid Mixed Meal Test,770,ACYLATED GHRELIN,180,106.36,Lean,Lean
Engström 2007,Engström BE. Ohrvall M. Sundbom M. Lind L. Karlsson FA. Meal suppression of circulating ghrelin is normalized in obese individuals following gastric bypass surgery. Int J Obes (Lond). 2007 Mar;31(3):476-80. doi: 10.1038/sj.ijo.0803440. Epub 2006 Aug 22. PMID: 16924271.,10,Lean,22.7,1.8,5,25.9,2.2,Solid Mixed Meal Test,770,Insulin,0,9.6,Lean,Lean
Engström 2007,Engström BE. Ohrvall M. Sundbom M. Lind L. Karlsson FA. Meal suppression of circulating ghrelin is normalized in obese individuals following gastric bypass surgery. Int J Obes (Lond). 2007 Mar;31(3):476-80. doi: 10.1038/sj.ijo.0803440. Epub 2006 Aug 22. PMID: 16924271.,10,Lean,22.7,1.8,5,25.9,2.2,Solid Mixed Meal Test,770,Insulin,15,70.86,Lean,Lean
