t,mean_diff,lo,hi,hormone_name,cohort,method
0,-31.845139011883333,-125.88874913912454,62.198471115357876,ghrelin_total,Obesity,sup-t bootstrap
3.6,-29.65899753141167,-115.81218494233828,56.494189879514934,ghrelin_total,Obesity,sup-t bootstrap
7.2,-27.47285605094021,-110.51504659238418,55.56933449050376,ghrelin_total,Obesity,sup-t bootstrap
10.8,-25.286714570468774,-110.52228069366816,59.948851552730616,ghrelin_total,Obesity,sup-t bootstrap
14.4,-23.100573089997198,-115.45673513847461,69.25558895848022,ghrelin_total,Obesity,sup-t bootstrap
18,-19.851523201949817,-104.65150234706701,64.94845594316737,ghrelin_total,Obesity,sup-t bootstrap
21.6,-16.389891632387076,-94.04286166945019,61.26307840467604,ghrelin_total,Obesity,sup-t bootstrap
25.2,-12.928260062824421,-88.7212716752995,62.86475154965066,ghrelin_total,Obesity,sup-t bootstrap
28.8,-9.466628493261851,-89.05825508895076,70.12499810242706,ghrelin_total,Obesity,sup-t bootstrap
32.4,-7.989706056624584,-86.23782700997181,70.25841489672264,ghrelin_total,Obesity,sup-t bootstrap
36,-7.505138186449756,-81.08741796167352,66.07714158877401,ghrelin_total,Obesity,sup-t bootstrap
39.6,-7.020570316274728,-77.31956501792635,63.278424385376894,ghrelin_total,Obesity,sup-t bootstrap
43.2,-6.536002446100099,-75.13307753068547,62.06107263848527,ghrelin_total,Obesity,sup-t bootstrap
46.800000000000004,-6.051434575925299,-74.64576421920965,62.542895067359055,ghrelin_total,Obesity,sup-t bootstrap
50.4,-5.566866705750471,-75.85782418405448,64.72409077255354,ghrelin_total,Obesity,sup-t bootstrap
54,-5.082298835575671,-78.65178056662917,68.48718289547783,ghrelin_total,Obesity,sup-t bootstrap
57.6,-4.5977309654007,-82.82900269281659,73.63354076201519,ghrelin_total,Obesity,sup-t bootstrap
61.2,-4.927535292292362,-85.37578111713646,75.52071053255173,ghrelin_total,Obesity,sup-t bootstrap
64.8,-6.886084013316747,-83.50082302406615,69.72865499743266,ghrelin_total,Obesity,sup-t bootstrap
68.4,-8.84463273434099,-82.96978639596726,65.28052092728528,ghrelin_total,Obesity,sup-t bootstrap
72,-10.80318145536532,-83.92007944288909,62.31371653215845,ghrelin_total,Obesity,sup-t bootstrap
75.60000000000001,-12.761730176389563,-86.41256405870179,60.889103705922665,ghrelin_total,Obesity,sup-t bootstrap
79.2,-14.72027889741409,-90.41461214690995,60.974054352081765,ghrelin_total,Obesity,sup-t bootstrap
82.8,-16.678827618438362,-95.80935924116466,62.45170400428793,ghrelin_total,Obesity,sup-t bootstrap
86.4,-18.63737633946272,-102.4256343353693,65.15088165644386,ghrelin_total,Obesity,sup-t bootstrap
90,-20.595925060486877,-110.07288028006109,68.88103015908733,ghrelin_total,Obesity,sup-t bootstrap
93.60000000000001,-16.67714022085056,-100.64545848417661,67.2911780424755,ghrelin_total,Obesity,sup-t bootstrap
97.2,-12.75835538121413,-92.360053356745,66.84334259431674,ghrelin_total,Obesity,sup-t bootstrap
100.8,-8.839570541577814,-85.4122880146762,67.73314693152057,ghrelin_total,Obesity,sup-t bootstrap
104.4,-4.9207857019412415,-79.96431103126693,70.12273962738445,ghrelin_total,Obesity,sup-t bootstrap
108,-1.0020008623049819,-76.1077877132676,74.10378598865763,ghrelin_total,Obesity,sup-t bootstrap
