Author,Reference,source_cohort,n_subjects,bmi_mean,age_mean,caloric_test,kcal_test,hormone_name,units,time_min,value,cohort_v10_primary,cohort_v10_sensitivity,surgery_status,weeks_post_surgery,weight_loss_modality,had_t2dm_pre_surgery
Hedbäck 2022,"Hedbäck N, Hindsø M, Bojsen-Møller KN, Linddal AK, Jørgensen NB, Dirksen C, Møller A, Kristiansen VB, Hartmann B, Holst JJ, Svane MS, Madsbad S. Effect of Meal Texture on Postprandial Glucose Excursions and Gut Hormones After Roux-en-Y Gastric Bypass and Sleeve Gastrectomy. Front Nutr. 2022 Apr 29;9:889710. doi: 10.3389/fnut.2022.889710. PMID: 35571890; PMCID: PMC9100791.",Obesity Cohort,12,31.6,51.1,Liquid Mixed Meal Test,309 Kcal,ghrelin_total,pmol/L,0,138.3,Obesity,Obesity,not_applicable,NA,none,unknown
Hedbäck 2022,"Hedbäck N, Hindsø M, Bojsen-Møller KN, Linddal AK, Jørgensen NB, Dirksen C, Møller A, Kristiansen VB, Hartmann B, Holst JJ, Svane MS, Madsbad S. Effect of Meal Texture on Postprandial Glucose Excursions and Gut Hormones After Roux-en-Y Gastric Bypass and Sleeve Gastrectomy. Front Nutr. 2022 Apr 29;9:889710. doi: 10.3389/fnut.2022.889710. PMID: 35571890; PMCID: PMC9100791.",Obesity Cohort,12,31.6,51.1,Liquid Mixed Meal Test,309 Kcal,ghrelin_total,pmol/L,15,143.4,Obesity,Obesity,not_applicable,NA,none,unknown
Hedbäck 2022,"Hedbäck N, Hindsø M, Bojsen-Møller KN, Linddal AK, Jørgensen NB, Dirksen C, Møller A, Kristiansen VB, Hartmann B, Holst JJ, Svane MS, Madsbad S. Effect of Meal Texture on Postprandial Glucose Excursions and Gut Hormones After Roux-en-Y Gastric Bypass and Sleeve Gastrectomy. Front Nutr. 2022 Apr 29;9:889710. doi: 10.3389/fnut.2022.889710. PMID: 35571890; PMCID: PMC9100791.",Obesity Cohort,12,31.6,51.1,Liquid Mixed Meal Test,309 Kcal,ghrelin_total,pmol/L,30,132.3,Obesity,Obesity,not_applicable,NA,none,unknown
Hedbäck 2022,"Hedbäck N, Hindsø M, Bojsen-Møller KN, Linddal AK, Jørgensen NB, Dirksen C, Møller A, Kristiansen VB, Hartmann B, Holst JJ, Svane MS, Madsbad S. Effect of Meal Texture on Postprandial Glucose Excursions and Gut Hormones After Roux-en-Y Gastric Bypass and Sleeve Gastrectomy. Front Nutr. 2022 Apr 29;9:889710. doi: 10.3389/fnut.2022.889710. PMID: 35571890; PMCID: PMC9100791.",Obesity Cohort,12,31.6,51.1,Liquid Mixed Meal Test,309 Kcal,ghrelin_total,pmol/L,60,108.9,Obesity,Obesity,not_applicable,NA,none,unknown
Hedbäck 2022,"Hedbäck N, Hindsø M, Bojsen-Møller KN, Linddal AK, Jørgensen NB, Dirksen C, Møller A, Kristiansen VB, Hartmann B, Holst JJ, Svane MS, Madsbad S. Effect of Meal Texture on Postprandial Glucose Excursions and Gut Hormones After Roux-en-Y Gastric Bypass and Sleeve Gastrectomy. Front Nutr. 2022 Apr 29;9:889710. doi: 10.3389/fnut.2022.889710. PMID: 35571890; PMCID: PMC9100791.",Obesity Cohort,12,31.6,51.1,Liquid Mixed Meal Test,309 Kcal,ghrelin_total,pmol/L,90,114.6,Obesity,Obesity,not_applicable,NA,none,unknown
Hedbäck 2022,"Hedbäck N, Hindsø M, Bojsen-Møller KN, Linddal AK, Jørgensen NB, Dirksen C, Møller A, Kristiansen VB, Hartmann B, Holst JJ, Svane MS, Madsbad S. Effect of Meal Texture on Postprandial Glucose Excursions and Gut Hormones After Roux-en-Y Gastric Bypass and Sleeve Gastrectomy. Front Nutr. 2022 Apr 29;9:889710. doi: 10.3389/fnut.2022.889710. PMID: 35571890; PMCID: PMC9100791.",Obesity Cohort,12,31.6,51.1,Liquid Mixed Meal Test,309 Kcal,ghrelin_total,pmol/L,120,120.9,Obesity,Obesity,not_applicable,NA,none,unknown
Hedbäck 2022,"Hedbäck N, Hindsø M, Bojsen-Møller KN, Linddal AK, Jørgensen NB, Dirksen C, Møller A, Kristiansen VB, Hartmann B, Holst JJ, Svane MS, Madsbad S. Effect of Meal Texture on Postprandial Glucose Excursions and Gut Hormones After Roux-en-Y Gastric Bypass and Sleeve Gastrectomy. Front Nutr. 2022 Apr 29;9:889710. doi: 10.3389/fnut.2022.889710. PMID: 35571890; PMCID: PMC9100791.",Obesity Cohort,12,31.6,51.1,Liquid Mixed Meal Test,309 Kcal,ghrelin_total,pmol/L,150,136.5,Obesity,Obesity,not_applicable,NA,none,unknown
Hedbäck 2022,"Hedbäck N, Hindsø M, Bojsen-Møller KN, Linddal AK, Jørgensen NB, Dirksen C, Møller A, Kristiansen VB, Hartmann B, Holst JJ, Svane MS, Madsbad S. Effect of Meal Texture on Postprandial Glucose Excursions and Gut Hormones After Roux-en-Y Gastric Bypass and Sleeve Gastrectomy. Front Nutr. 2022 Apr 29;9:889710. doi: 10.3389/fnut.2022.889710. PMID: 35571890; PMCID: PMC9100791.",Obesity Cohort,12,31.6,51.1,Liquid Mixed Meal Test,309 Kcal,ghrelin_total,pmol/L,180,150.6,Obesity,Obesity,not_applicable,NA,none,unknown
Hedbäck 2022,"Hedbäck N, Hindsø M, Bojsen-Møller KN, Linddal AK, Jørgensen NB, Dirksen C, Møller A, Kristiansen VB, Hartmann B, Holst JJ, Svane MS, Madsbad S. Effect of Meal Texture on Postprandial Glucose Excursions and Gut Hormones After Roux-en-Y Gastric Bypass and Sleeve Gastrectomy. Front Nutr. 2022 Apr 29;9:889710. doi: 10.3389/fnut.2022.889710. PMID: 35571890; PMCID: PMC9100791.",Obesity Cohort,12,31.6,51.1,Solid Mixed Meal Test,309 Kcal,ghrelin_total,pmol/L,0,125.7,Obesity,Obesity,not_applicable,NA,none,unknown
Hedbäck 2022,"Hedbäck N, Hindsø M, Bojsen-Møller KN, Linddal AK, Jørgensen NB, Dirksen C, Møller A, Kristiansen VB, Hartmann B, Holst JJ, Svane MS, Madsbad S. Effect of Meal Texture on Postprandial Glucose Excursions and Gut Hormones After Roux-en-Y Gastric Bypass and Sleeve Gastrectomy. Front Nutr. 2022 Apr 29;9:889710. doi: 10.3389/fnut.2022.889710. PMID: 35571890; PMCID: PMC9100791.",Obesity Cohort,12,31.6,51.1,Solid Mixed Meal Test,309 Kcal,ghrelin_total,pmol/L,15,136.2,Obesity,Obesity,not_applicable,NA,none,unknown
